Nombre,Sexo,Año,Cantidad
MARTIN,M,2022,3224
MATEO,M,2022,3132
HUGO,M,2022,3074
LEO,M,2022,2752
LUCAS,M,2022,2537
MANUEL,M,2022,2491
ALEJANDRO,M,2022,2281
PABLO,M,2022,2238
DANIEL,M,2022,2237
ALVARO,M,2022,1938
ENZO,M,2022,1838
ADRIAN,M,2022,1683
LUCA,M,2022,1677
DIEGO,M,2022,1540
THIAGO,M,2022,1529
MARIO,M,2022,1497
BRUNO,M,2022,1471
DAVID,M,2022,1389
OLIVER,M,2022,1380
ALEX,M,2022,1317
MARCOS,M,2022,1274
GONZALO,M,2022,1272
LIAM,M,2022,1256
MARCO,M,2022,1230
MIGUEL,M,2022,1226
IZAN,M,2022,1220
ANTONIO,M,2022,1188
JAVIER,M,2022,1151
NICOLAS,M,2022,1150
GAEL,M,2022,1109
MARC,M,2022,1040
JUAN,M,2022,1036
DARIO,M,2022,1009
ANGEL,M,2022,988
CARLOS,M,2022,977
JOSE,M,2022,956
GABRIEL,M,2022,945
DYLAN,M,2022,883
RODRIGO,M,2022,865
ADAM,M,2022,796
SAMUEL,M,2022,791
JORGE,M,2022,775
JAIME,M,2022,752
ERIC,M,2022,741
SERGIO,M,2022,741
PAU,M,2022,685
GUILLERMO,M,2022,684
FRANCISCO,M,2022,674
HECTOR,M,2022,668
NOAH,M,2022,651
IAN,M,2022,642
IKER,M,2022,642
MOHAMED,M,2022,639
RAYAN,M,2022,638
AARON,M,2022,620
JESUS,M,2022,616
VICTOR,M,2022,598
RAFAEL,M,2022,595
JULEN,M,2022,591
AMIR,M,2022,581
SANTIAGO,M,2022,575
LUIS,M,2022,573
UNAI,M,2022,570
ERIK,M,2022,562
PEDRO,M,2022,539
RUBEN,M,2022,528
IVAN,M,2022,526
MATIAS,M,2022,522
NIL,M,2022,518
SAUL,M,2022,484
POL,M,2022,476
ANDER,M,2022,446
BIEL,M,2022,442
JAN,M,2022,442
MARTI,M,2022,442
JOEL,M,2022,438
NICO,M,2022,434
LUKA,M,2022,425
ALBERTO,M,2022,415
ISAAC,M,2022,415
NEIZAN,M,2022,415
RAUL,M,2022,409
ALONSO,M,2022,399
ALAN,M,2022,398
ASIER,M,2022,386
ANDRES,M,2022,373
ISMAEL,M,2022,372
AITOR,M,2022,371
ARNAU,M,2022,370
FABIO,M,2022,362
KAI,M,2022,360
AXEL,M,2022,358
FERNANDO,M,2022,358
ARAN,M,2022,348
IGNACIO,M,2022,346
MAX,M,2022,334
IMRAN,M,2022,330
ALEIX,M,2022,328
MAURO,M,2022,326
ELIAS,M,2022,323
LUCIA,F,2022,3539
SOFIA,F,2022,2899
MARTINA,F,2022,2651
VALERIA,F,2022,2580
MARIA,F,2022,2443
JULIA,F,2022,2240
PAULA,F,2022,1912
EMMA,F,2022,1864
OLIVIA,F,2022,1862
DANIELA,F,2022,1661
CARLA,F,2022,1655
ALMA,F,2022,1619
MIA,F,2022,1614
CARMEN,F,2022,1613
VEGA,F,2022,1544
LOLA,F,2022,1542
LARA,F,2022,1537
SARA,F,2022,1453
ALBA,F,2022,1440
JIMENA,F,2022,1410
NOA,F,2022,1397
CHLOE,F,2022,1391
VALENTINA,F,2022,1365
CLAUDIA,F,2022,1272
AITANA,F,2022,1110
ANA,F,2022,1042
GALA,F,2022,1042
VERA,F,2022,1029
ABRIL,F,2022,1028
ALEJANDRA,F,2022,1024
TRIANA,F,2022,997
MANUELA,F,2022,985
CANDELA,F,2022,974
LAIA,F,2022,970
ZOE,F,2022,908
INES,F,2022,901
ADRIANA,F,2022,895
VICTORIA,F,2022,873
ELENA,F,2022,868
BLANCA,F,2022,859
MARINA,F,2022,839
CARLOTA,F,2022,798
MARTA,F,2022,708
CLARA,F,2022,705
LUNA,F,2022,703
NORA,F,2022,699
LIA,F,2022,683
ROCIO,F,2022,676
ARIADNA,F,2022,641
IRENE,F,2022,618
ALICIA,F,2022,596
AMIRA,F,2022,595
CELIA,F,2022,580
INDIA,F,2022,580
ONA,F,2022,573
LAURA,F,2022,570
EVA,F,2022,540
LEIRE,F,2022,538
ISABEL,F,2022,468
AFRICA,F,2022,456
ANGELA,F,2022,450
AINA,F,2022,438
IRIA,F,2022,438
GABRIELA,F,2022,431
NAIA,F,2022,429
ANDREA,F,2022,419
MAR,F,2022,405
AINHOA,F,2022,397
IRIS,F,2022,396
JULIETA,F,2022,385
LEYRE,F,2022,382
AINARA,F,2022,377
ELSA,F,2022,369
LINA,F,2022,358
NAHIA,F,2022,358
JANA,F,2022,345
NOUR,F,2022,340
DIANA,F,2022,330
NEREA,F,2022,329
MARA,F,2022,321
ISABELLA,F,2022,320
LAYAN,F,2022,318
ADARA,F,2022,317
CAYETANA,F,2022,312
ELIA,F,2022,311
MACARENA,F,2022,309
HELENA,F,2022,302
CLOE,F,2022,298
AROA,F,2022,296
VIOLETA,F,2022,295
CAMILA,F,2022,290
CATALINA,F,2022,286
YASMIN,F,2022,283
ARLET,F,2022,282
FATIMA,F,2022,277
AURORA,F,2022,275
CAROLINA,F,2022,275
MAIA,F,2022,274
CATALEYA,F,2022,265
ALAIA,F,2022,264
